"-","id","timestamp","frameNumber","x","y","vx","vy","size"
"$","5","1707210983870","243","-31.8671875","13.3828125","21.8268070220947","1","7.1488037109375"
"$","7","1707210983870","243","-77.703125","7.421875","21.9722671508789","1","6.59619140625"
"$","5","1707210983933","244","-30.578125","13.53125","21.8656482696533","1","7.2674560546875"
"$","7","1707210983933","244","-76.4296875","7.6640625","21.9782180786133","1","6.796875"
"$","5","1707210983995","245","-29.2734375","13.671875","21.8656482696533","1","7.2674560546875"
"$","7","1707210983995","245","-75.1796875","7.7421875","21.9671421051025","1","5.8546142578125"
"$","5","1707210984073","246","-26.671875","14.0703125","21.8870296478271","1","6.1171875"
"$","7","1707210984073","246","-72.5859375","8.078125","21.9734649658203","1","6.345703125"
"$","8","1707210984073","246","-26.46875","22.7578125","21.3553123474121","1","8.3155517578125"
"$","5","1707210984136","247","-25.375","14.203125","21.9241104125977","1","5.1060791015625"
"$","7","1707210984136","247","-71.2890625","8.21875","21.9656181335449","1","6.5703125"
"$","5","1707210984198","248","-24.0703125","14.3515625","21.9241104125977","1","5.1060791015625"
"$","7","1707210984198","248","-69.984375","8.3671875","21.9667320251465","1","6.7413330078125"
"$","5","1707210984261","249","-22.796875","14.4453125","22.0803813934326","1","5.44140625"
"$","7","1707210984261","249","-68.6796875","8.5546875","21.9667320251465","1","6.7413330078125"
"$","5","1707210984323","250","-21.4765625","14.5859375","22.0803813934326","1","5.44140625"
"$","7","1707210984323","250","-67.3984375","8.6875","21.9668750762939","1","6.91455078125"
"$","5","1707210984401","251","-20.203125","14.6484375","22.0472164154053","1","5.7333984375"
"$","7","1707210984401","251","-66.0859375","8.8359375","21.9692726135254","1","6.720703125"
"$","5","1707210984464","252","-18.890625","14.78125","22.0472164154053","1","5.7333984375"
"$","7","1707210984464","252","-64.8515625","9.359375","22.0387897491455","1","5.716552734375"
"$","5","1707210984526","253","-17.8203125","14.703125","21.7223930358887","1","4.5294189453125"
"$","7","1707210984526","253","-63.5546875","9.546875","22.0441360473633","1","5.9853515625"
